Sr_no,Abbrevation,Company Name,Reports,Industrial_vertical,Industry_sector,Date,Value,Start_year
150,DLR,Digital Realty Trust Inc,reports,Real Estate,Specialized REITs,5/18/16,1297996,
151,DFS,Discover Financial Services,reports,Financials,Consumer Finance,7/2/07,1393612,
152,DISCA,Discovery Inc. Class A,reports,Communication Services,Broadcasting,3/1/10,1437107,
153,DISCK,Discovery Inc. Class C,reports,Communication Services,Broadcasting,8/7/14,1437107,
154,DISH,Dish Network,reports,Communication Services,Cable & Satellite,3/13/17,1001082,
155,DG,Dollar General,reports,Consumer Discretionary,General Merchandise Stores,12/3/12,29534,
156,DLTR,Dollar Tree,reports,Consumer Discretionary,General Merchandise Stores,12/19/11,935703,
157,D,Dominion Energy,reports,Utilities,Electric Utilities,,715957,1983
158,DOV,Dover Corp.,reports,Industrials,Industrial Machinery,10/31/85,29905,
159,DOW,Dow Inc.,reports,Materials,Commodity Chemicals,4/1/19,1751788,2019
160,DWDP,DowDuPont,reports,Materials,Specialty Chemicals,,1666700,2017
161,DTE,DTE Energy Co.,reports,Utilities,Multi-Utilities,,936340,1995
162,DRE,Duke Realty Corp,reports,Real Estate,Industrial REITs,7/26/17,783280,
163,DUK,Duke Energy,reports,Utilities,Electric Utilities,6/30/76,1326160,
164,DXC,DXC Technology,reports,Information Technology,IT Consulting & Other Services,4/4/17,1688568,
165,ETFC,E*Trade,reports,Financials,Investment Banking & Brokerage,3/31/04,1015780,
166,EMN,Eastman Chemical,reports,Materials,Diversified Chemicals,1/1/94,915389,
167,ETN,Eaton Corporation,reports,Industrials,Electrical Components & Equipment,,1551182,1911
168,EBAY,eBay Inc.,reports,Consumer Discretionary,Internet & Direct Marketing Retail,,1065088,1995
169,ECL,Ecolab Inc.,reports,Materials,Specialty Chemicals,1/31/89,31462,
170,EIX,Edison Int'l,reports,Utilities,Electric Utilities,,827052,1886
171,EW,Edwards Lifesciences,reports,Health Care,Health Care Equipment,4/1/11,1099800,
172,EA,Electronic Arts,reports,Communication Services,Interactive Home Entertainment,7/22/02,712515,
